,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,Gasto_Total
0,Graduation,Soltero,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,67,0,1617
1,Graduation,Soltero,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,70,2,27
2,Graduation,Con Pareja,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,59,0,776
3,Graduation,Con Pareja,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,40,1,53
4,Doctorate,Con Pareja,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,43,1,422
5,Master,Con Pareja,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,57,1,716
6,Graduation,Soltero,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,53,1,590
7,Doctorate,Con Pareja,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,39,1,169
8,Doctorate,Con Pareja,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,50,1,46
10,Graduation,Con Pareja,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,41,1,19
11,NoGraduation,Con Pareja,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,48,0,61
12,Graduation,Soltero,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,65,0,1102
13,Master,Soltero,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,72,2,310
14,Graduation,Con Pareja,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,37,0,46
15,Doctorate,Soltero,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,78,0,1315
16,Graduation,Con Pareja,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,44,2,96
17,Graduation,Con Pareja,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,78,0,317
18,Master,Con Pareja,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,75,1,1782
19,NoGraduation,Soltero,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,39,1,133
20,Graduation,Con Pareja,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,42,0,316
22,Doctorate,Con Pareja,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,75,1,972
23,Doctorate,Con Pareja,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,70,1,544
25,Graduation,Soltero,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,55,0,75
26,Graduation,Con Pareja,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48,2,257
28,Graduation,Con Pareja,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,35,1,131
29,Doctorate,Con Pareja,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,59,0,1672
30,Master,Soltero,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,35,0,30
31,Master,Con Pareja,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,0,318
32,Graduation,Con Pareja,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,54,1,120
33,Doctorate,Soltero,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,72,2,302
34,Master,Con Pareja,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,78,0,1196
35,Master,Soltero,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,73,2,65
36,Doctorate,Con Pareja,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,54,1,913
